,Region,clearance-rate,crime-rate,clearance-rate-divided
0,Shymkent city,2699,11933,0.2261795022207324
1,Turkistan Region,3163,6863,0.46087716741949586
2,Ulytau Region,133,790,0.16835443037974684
3,West Kazakhstan Region,2416,2306,1.0477016478751084
4,Jambyl Region,2745,6470,0.4242658423493045
5,Jetisu Region,489,2306,0.21205550737207285
6,Abai Region,503,2537,0.19826566811194324
7,Akmola Region,2611,6584,0.3965674362089915
8,Aktobe Region,2408,7908,0.30450177035913
9,Almaty city,6336,39928,0.15868563414145462
10,Almaty Region,3857,15066,0.256006902960308
11,Astana city,4289,20313,0.2111455718013095
12,Atyrau Region,1551,5391,0.2877017250973845
13,East Kazakhstan Region,3326,9416,0.3532285471537808
14,Karaganda Region,2854,10937,0.2609490719575752
15,Kostanay Region,2397,8528,0.28107410881801126
16,Kyzylorda Region,1436,3589,0.4001114516578434
17,Mangystau Region,1657,4407,0.3759927388245972
18,North Kazakhstan Region,1902,5293,0.35934252786699417
19,Pavlodar Region,2222,6181,0.3594887558647468
